,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA,cluster
2,18,8,42,11,47,18,34,12,44,16,23,23,23,22,21,24,42,48,0.0,5
16,37,12,38,10,51,16,32,12,32,11,22,23,22,21,24,24,42,42,5.96,5
25,34,10,42,13,37,18,32,13,42,12,23,21,23,23,23,23,43,46,6.23,5
33,45,13,7,8,43,15,33,10,39,13,22,19,23,22,23,24,42,38,0.0,5
38,51,9,22,6,39,14,18,8,19,9,14,18,14,20,14,14,39,29,0.0,5
52,38,10,33,11,44,15,41,14,42,12,20,19,21,22,20,22,40,39,6.15,5
57,32,8,45,15,36,14,33,15,32,11,21,24,22,22,23,17,47,45,6.08,5
72,38,10,43,16,48,20,44,16,39,13,23,21,21,22,22,16,45,47,6.85,5
80,35,9,35,11,41,15,34,9,41,9,21,16,21,21,21,22,39,44,5.85,5
84,45,9,32,8,39,12,32,7,32,9,16,16,18,22,20,15,40,46,5.65,5
85,48,10,32,8,39,16,36,12,28,9,18,22,16,21,19,16,39,47,5.85,5
96,32,8,32,8,32,10,33,11,32,7,14,22,18,21,18,22,43,47,5.04,5
100,36,10,40,11,42,15,45,16,42,17,20,21,20,21,22,19,46,46,6.73,5
105,26,8,38,13,46,15,33,9,41,18,22,21,20,22,23,24,47,45,6.23,5
106,35,10,18,9,38,9,32,10,32,9,14,14,19,20,23,23,44,42,0.0,5
107,23,7,32,8,37,8,20,13,32,13,13,20,20,21,22,23,44,42,0.0,5
108,32,12,36,13,32,12,32,13,35,12,20,21,21,20,22,23,46,45,5.62,5
109,45,12,23,8,32,10,34,10,33,11,14,16,19,21,20,22,43,45,0.0,5
111,20,10,32,9,38,13,32,9,32,8,16,21,21,20,20,23,45,48,0.0,5
113,22,9,32,8,36,14,39,10,34,10,12,22,20,22,23,21,44,46,0.0,5
114,37,10,25,10,32,11,33,14,33,9,17,19,20,21,23,20,43,46,0.0,5
118,42,11,32,9,53,15,44,9,35,12,15,17,15,16,19,17,32,30,5.92,5
119,32,13,32,10,36,12,38,9,32,15,17,14,20,17,19,19,35,37,5.42,5
139,33,4,51,10,43,11,42,8,17,14,21,16,15,16,22,22,42,40,0.0,5
149,41,16,39,12,40,12,32,8,34,14,23,20,15,16,24,22,43,41,6.19,5
156,26,9,47,8,44,8,36,8,43,12,16,20,15,16,23,22,38,35,5.73,5
157,32,12,45,8,54,10,32,8,34,11,17,19,15,17,21,22,34,39,5.73,5
161,44,9,53,4,33,8,25,8,27,9,14,14,15,15,16,0,33,30,0.0,5
162,22,11,43,12,37,15,59,12,32,15,17,19,20,20,21,17,37,33,0.0,5
164,32,11,44,7,44,12,13,10,13,7,11,13,19,0,16,0,31,29,0.0,5
166,33,10,47,9,56,15,39,12,40,11,18,20,19,20,22,18,41,40,6.62,5
169,22,7,32,11,48,8,33,10,40,15,16,16,18,19,21,18,36,31,0.0,5
177,44,14,37,7,50,17,50,12,35,15,21,14,21,21,23,20,43,36,6.62,5
178,20,10,35,10,32,15,56,11,23,13,21,21,20,19,22,21,47,44,0.0,5
183,32,10,32,10,51,10,38,9,22,10,11,12,16,16,12,12,25,32,0.0,5
189,32,10,35,10,35,16,16,4,32,12,20,19,15,16,19,23,45,34,0.0,5
191,34,12,39,11,43,15,51,13,47,12,19,18,21,20,20,20,43,34,6.58,5
193,32,9,36,11,39,17,54,12,43,15,19,18,20,19,21,19,42,44,6.27,5
194,32,9,42,13,40,15,55,14,26,8,18,20,22,20,19,21,40,47,6.19,5
211,32,9,45,4,41,15,43,9,40,16,22,22,18,19,18,19,40,45,0.0,5
214,37,16,33,11,34,15,32,12,22,13,19,13,21,17,16,19,46,36,0.0,5
218,18,8,41,10,33,13,37,14,37,14,18,13,23,22,21,16,39,38,0.0,5
223,18,8,35,12,39,12,51,13,44,16,18,13,22,20,16,21,40,37,0.0,5
224,32,15,32,15,32,11,20,9,17,10,23,17,18,20,22,22,47,47,0.0,5
225,32,8,39,8,53,10,25,8,40,10,18,18,18,16,18,18,44,46,5.81,5
231,32,12,32,9,44,9,20,8,32,8,18,18,18,17,22,14,40,40,0.0,5
238,40,9,36,9,56,13,32,8,40,9,20,20,18,19,22,20,40,44,6.04,5
250,49,14,22,8,39,10,22,8,32,11,22,18,20,18,23,17,35,42,0.0,5
253,46,13,32,11,39,8,33,11,34,12,24,19,22,18,24,14,37,44,8.81,5
268,36,15,43,12,50,13,32,9,32,7,16,18,18,18,18,10,39,34,5.81,5
291,32,10,37,8,38,10,54,9,37,10,23,18,21,17,21,10,39,36,5.85,5
302,46,15,33,10,61,15,50,11,32,10,24,20,24,17,19,10,43,38,6.81,5
306,39,12,32,9,68,19,39,14,32,14,23,18,22,16,24,24,45,47,6.88,5
317,40,11,20,8,34,8,40,5,33,14,24,20,20,18,20,17,48,48,0.0,5
320,32,9,48,9,43,11,40,11,32,9,20,18,20,17,18,16,38,43,5.85,5
322,32,6,33,11,62,10,12,8,39,11,22,19,16,16,18,19,37,43,0.0,5
323,15,5,32,4,49,10,34,10,32,12,22,18,21,19,20,17,44,43,0.0,5
324,20,5,37,10,53,12,21,8,41,15,22,17,20,18,20,18,48,47,0.0,5
325,32,8,42,9,60,14,45,12,35,11,22,17,21,16,20,16,41,45,6.35,5
